"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV2034","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV2035","k__Fungi","p__Calcarisporiellomycota","c__Calcarisporiellomycetes","o__Calcarisporiellales","f__Calcarisporiellaceae","g__Calcarisporiella",NA
"ESV2036","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Dichotomopilus","s__indicus"
"ESV2037","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV2040","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"ESV2042","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Syncephalis",NA
"ESV2043","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2045","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV2046","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ESV2048","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV2050","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"ESV2052","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV2053","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Striatibotrys","s__eucylindrospora"
"ESV2055","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__subinflatus"
"ESV2057","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Collembolispora",NA
"ESV2058","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Scolecobasidium","s__constrictum"
"ESV2059","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","s__arborescens"
"ESV2060","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe",NA
"ESV2062","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ESV2063","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__circinelloides"
"ESV2064","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV2066","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV2067","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris","s__corallina"
"ESV2069","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia",NA
"ESV2070","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA
"ESV2071","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2074","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__aggressivum"
"ESV2075","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__slooffiae"
"ESV2076","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV2078","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctis","s__rosea"
"ESV2079","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Chaetosphaeria",NA
"ESV2082","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ESV2083","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV2084","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Agrocybe",NA
