"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"193" "ESV193" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"194" "ESV194" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"195" "ESV195" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"196" "ESV196" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira"
"197" "ESV197" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus"
"198" "ESV198" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"199" "ESV199" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"200" "ESV200" "Bacteria" "Proteobacteria" "Betaproteobacteria" "B1-7BS" NA NA
"201" "ESV201" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"202" "ESV202" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter"
"203" "ESV203" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"204" "ESV204" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"205" "ESV205" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"206" "ESV206" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"207" "ESV207" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"208" "ESV208" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"209" "ESV209" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"210" "ESV210" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"211" "ESV211" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Luteimonas"
"212" "ESV212" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Chungangia"
"213" "ESV213" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"214" "ESV214" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA
"215" "ESV215" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"216" "ESV216" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"217" "ESV217" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"218" "ESV218" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"219" "ESV219" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"220" "ESV220" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"221" "ESV221" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"222" "ESV222" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"223" "ESV223" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"224" "ESV224" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"225" "ESV225" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"226" "ESV226" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
